"CN","type","plat","TP"
"C_2003","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2004","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2005","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2006","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2007","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2008","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2009","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2010","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2011","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2012","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2013","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2014","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2015","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2016","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2017","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2018","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2019","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2020","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2021","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2022","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2023","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2024","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2025","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2026","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2027","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2028","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2029","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2030","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2031","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2032","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2033","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2034","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2035","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2036","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2037","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2038","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2039","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2040","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2041","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2042","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2043","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2044","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2045","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2046","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2047","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2048","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2049","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2050","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2051","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2052","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2053","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2054","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2055","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2056","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2057","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2058","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2059","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2060","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2061","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2062","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2063","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2064","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2065","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2066","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2067","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2068","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2069","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2070","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2071","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2072","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2073","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2074","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2075","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2076","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2077","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2078","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2079","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2080","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2081","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2082","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2083","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2084","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2085","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2086","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2087","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2088","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2089","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2090","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2091","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2092","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2093","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2094","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2095","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2096","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2097","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2098","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2099","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2100","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2101","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2102","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2103","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2104","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2105","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2106","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2107","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2108","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2109","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2110","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2111","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2112","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2113","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2114","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2115","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2116","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2117","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2118","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2119","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2120","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2121","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2122","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2123","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2124","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2125","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2126","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2127","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2128","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2129","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2130","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2131","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2132","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2133","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2134","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2135","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2136","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2137","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2138","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2139","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2140","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2141","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2142","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2143","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2144","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2145","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2146","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2147","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2148","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2149","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2150","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2151","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2152","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2153","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2154","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2155","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2156","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2157","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2158","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2159","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2160","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2161","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2162","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2163","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2164","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2165","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2166","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2167","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2168","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2169","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2170","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2171","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2172","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2173","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2174","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2175","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2176","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2177","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2178","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2179","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2180","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2181","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2182","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2183","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2184","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2185","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2186","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2187","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2188","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2189","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2190","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2191","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2192","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2193","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2194","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2195","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2196","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2197","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2198","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2199","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2200","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2201","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2202","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2203","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2204","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2205","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2206","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2207","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2208","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2209","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2210","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2211","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2212","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2213","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2214","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2215","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2216","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2217","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2218","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2219","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2220","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2221","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2222","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2223","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2224","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2225","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2226","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2227","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2228","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2229","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2230","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2231","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2232","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2233","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2234","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2235","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2236","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2237","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2238","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2239","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2240","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2241","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2242","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2243","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2244","Solid tumor","Illumina_NGS","Solid tumor_Illumina_NGS"
"C_2245","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2246","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2247","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2248","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2249","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2250","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2251","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2252","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2253","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2254","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2255","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2256","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2257","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2258","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2259","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2260","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2261","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2262","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2263","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2264","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2265","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2266","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2267","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2268","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2269","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2270","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2271","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2272","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2273","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2274","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2275","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2276","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2277","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2278","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2279","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2280","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2281","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2282","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2283","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2284","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2285","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2286","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2287","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2288","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2289","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2290","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2291","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2292","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2293","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2294","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2295","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2296","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2297","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2298","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2299","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2300","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2301","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2302","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2303","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2304","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2305","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2306","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2307","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2308","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2309","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2310","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2311","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2312","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2313","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2314","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2315","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2316","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2317","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2318","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2319","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2320","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2321","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2322","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2323","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2324","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2325","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2326","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2327","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2328","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2329","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2330","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2331","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2332","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2333","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2334","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2335","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2336","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2337","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2338","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2339","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2340","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2341","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2342","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2343","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2344","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2345","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2346","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2347","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2348","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2349","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2350","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2351","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2352","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2353","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
"C_2354","Solid tumor","Affymetrix_U133","Solid tumor_Affymetrix_U133"
