"CN","type","plat","TP"
"C_107","Solid tumor","Agilent","Solid tumor_Agilent"
"C_108","Solid tumor","Agilent","Solid tumor_Agilent"
"C_109","Solid tumor","Agilent","Solid tumor_Agilent"
"C_110","Solid tumor","Agilent","Solid tumor_Agilent"
"C_111","Solid tumor","Agilent","Solid tumor_Agilent"
"C_112","Solid tumor","Agilent","Solid tumor_Agilent"
"C_113","Solid tumor","Agilent","Solid tumor_Agilent"
"C_114","Solid tumor","Agilent","Solid tumor_Agilent"
"C_115","Solid tumor","Agilent","Solid tumor_Agilent"
"C_116","Solid tumor","Agilent","Solid tumor_Agilent"
"C_117","Solid tumor","Agilent","Solid tumor_Agilent"
"C_118","Solid tumor","Agilent","Solid tumor_Agilent"
"C_119","Solid tumor","Agilent","Solid tumor_Agilent"
"C_120","Solid tumor","Agilent","Solid tumor_Agilent"
"C_121","Solid tumor","Agilent","Solid tumor_Agilent"
"C_122","Solid tumor","Agilent","Solid tumor_Agilent"
"C_123","Solid tumor","Agilent","Solid tumor_Agilent"
"C_124","Solid tumor","Agilent","Solid tumor_Agilent"
"C_125","Solid tumor","Agilent","Solid tumor_Agilent"
"C_126","Solid tumor","Agilent","Solid tumor_Agilent"
"C_127","Solid tumor","Agilent","Solid tumor_Agilent"
"C_128","Solid tumor","Agilent","Solid tumor_Agilent"
"C_129","Solid tumor","Agilent","Solid tumor_Agilent"
"C_130","Solid tumor","Agilent","Solid tumor_Agilent"
"C_131","Solid tumor","Agilent","Solid tumor_Agilent"
"C_132","Solid tumor","Agilent","Solid tumor_Agilent"
"C_133","Solid tumor","Agilent","Solid tumor_Agilent"
"C_134","Solid tumor","Agilent","Solid tumor_Agilent"
"C_135","Solid tumor","Agilent","Solid tumor_Agilent"
"C_136","Solid tumor","Agilent","Solid tumor_Agilent"
"C_137","Solid tumor","Agilent","Solid tumor_Agilent"
"C_138","Solid tumor","Agilent","Solid tumor_Agilent"
"C_139","Solid tumor","Agilent","Solid tumor_Agilent"
"C_140","Solid tumor","Agilent","Solid tumor_Agilent"
"C_141","Solid tumor","Agilent","Solid tumor_Agilent"
"C_142","Solid tumor","Agilent","Solid tumor_Agilent"
